Name,Short description,Description,Regular_price,Category,Images,Attribute 1 value(s)
ATROS Softner,"Our company is listed among the most trusted names that are engaged in offering our clients with premium quality Water Softening Plant for Industrial Use. Using these softening plants our customers can easily remove magnesium and calcium from water. These plants operate on the principle of ion exchange and provide the user with soft and pure water. These plants are very energy efficient and results for the maximum transfer of energy. Therefore, these water softening plants are highly demanded by our customers in the market and are available at reasonable price.

",,0,"Other Products > ATROS Softner, Other Products",https://atros.in/wp-content/uploads/2023/01/ATROS-Softner-1-removebg-preview-1.png,
Water ATM Machine,Atros Products Water ATM Machine,,,Other Products,https://atros.in/wp-content/uploads/2023/01/WATER-ATM-MACHINE-1.jpg,"Coin, Card, Combo"
Kidney Dialysis Plants,Atros Products Kidney Dialysis Plants,,0,"Other Products > Kidney Dialysis Plans, Other Products","https://atros.in/wp-content/uploads/2023/01/WATER-KIDNEY-IMAGE.jpg, https://atros.in/wp-content/uploads/2023/01/Kidney-Dialysis-Plans-1-removebg-preview.png",
250 LPH RO Plant - Classic,,,129000,,,Classic
250 LPH RO Plant - NX,,,129000,,,NX
250 LPH RO Plant - Premium,,,129000,,,Premium
500 LPH RO Plant - Classic,,,151000,,,Classic
500 LPH RO Plant - NX,,,151000,,,NX
500 LPH RO Plant - Premium,,,151000,,,Premium
1000 LPH RO Plant - Classic,,,186000,,,Classic
1000 LPH RO Plant - NX,,,186000,,,NX
1000 LPH RO Plant - Premium,,,186000,,,Premium
2000 LPH RO Plant - Classic,,,289000,,,Classic
2000 LPH RO Plant - NX,,,289000,,,NX
2000 LPH RO Plant - Premium,,,289000,,,Premium
ATROS Online Chillers - 2 TN Classic,,,55000,,,2 TN Classic
ATROS Online Chillers - 2 TN NX,,,70000,,,2 TN NX
ATROS Online Chillers - 3 TN Classic,,,80000,,,3 TN Classic
ATROS Online Chillers - 3 TN NX,,,95000,,,3 TN NX
ATROS Online Chillers - 5 TN Classic,,,115000,,,5 TN Classic
ATROS Online Chillers - 5 TN NX,,,130000,,,5 TN NX
ATROS Water Coolers - 20/20 LI,,,28320,,,20/20 LI
ATROS Water Coolers - 40/40 LI,,,32208,,,40/40 LI
ATROS Water Coolers - 60/60 LI,,,37105,,,60/60 LI
ATROS Water Coolers - 80/80 LI,,,47834,,,80/80 LI
ATROS Water Coolers - 100 LI,,,55438,,,100 LI
Water ATM Machine - Coin,,,18000,,,Coin
Water ATM Machine - Card,,,18000,,,Card
Water ATM Machine - Combo,,,25000,,,Combo
ATROS NX3,ATROS NX3 best quality of products in Platinum Series,ATROS NX3 Specification,74999,"Water Ionizer > Domestic Water Ionizer, Water Ionizer > Domestic Water Ionizer > NX Series, Water Ionizer",https://atros.in/wp-content/uploads/2023/02/ATROS-NX3.png,
ATROS SP5,ATROS SP5 best quality of products in Platinum Series (Platinum Coating on Titanium Plates),ATROS SP5 Specification,119000,"Water Ionizer > Domestic Water Ionizer, Water Ionizer > Domestic Water Ionizer > SP Series, Water Ionizer",https://atros.in/wp-content/uploads/2023/02/sp5-4-1.png,
ATROS SP7,ATROS SP7 best quality of products in Platinum Series (Platinum Coating on Titanium Plates),ATROS SP7 Specification,169000,"Water Ionizer > Domestic Water Ionizer, Water Ionizer > Domestic Water Ionizer > SP Series, Water Ionizer",https://atros.in/wp-content/uploads/2023/02/sp7-3.png,
ATROS SP11,ATROS SP11 best quality of products in Platinum Series (Platinum Coating on Titanium Plates),ATROS SP11 Specification,249000,"Water Ionizer > Domestic Water Ionizer, Water Ionizer > Domestic Water Ionizer > SP Series, Water Ionizer",https://atros.in/wp-content/uploads/2023/02/sp11-4.png,
ATROS 11 CP,"ATROS 11CP best quality of product in Commercial.Useful for Small Offices, Institutes, Hospital etc.",ATROS 11CP Specification,249000,"Water Ionizer > Commercial Water Ionizer, Water Ionizer > Commercial Water Ionizer > CP Series, Water Ionizer",https://atros.in/wp-content/uploads/2023/02/ATROS-11CP.png,
ATROS Aqua R1,"1.The AquaTech RO Water Filter with RO + UV + UF + TDS + Alkaline + Copper + Zinc water purifier from the latest collection of AquaTech water services, removes dirt, bacteria and any other harmful
elements to give you safe drinking water.
2.Smart LED Indicator.
3.This comes with a membrane life enhancer, pre filter and one free spun filter.
4.This has a USA made Filter, high pressure booster pump and 80 GPD R.O membrane.
5.It purifies water with PHILIPS UV mechanism and it has a maximum storage capacity of 12 to 15 liters,which is sufficient for your entire family.
6.An excellent choice for Healthy hydration, not only does it taste great and refreshing, but it also helps you avoid impurities and improve health.",ATROS Aqua R1 Specification,34999,"Water Purifier > Domestic, Water Purifier",https://atros.in/wp-content/uploads/2023/11/WhatsApp-Image-2023-10-14-at-10.58.02-AM-5.jpeg,
ATROS Aqua R2,"The AquaTech RO Water Filter with RO + UV + UF + TDS + Alkaline + Copper + Zinc water purifier from the latest collection of AquaTech water services, removes dirt, bacteria and any other harmful elements to give you safe drinking water.
1.Smart LED Indicator.
2.This comes with a membrane life enhancer, pre filter and one free spun filter.
3.This has a USA made Filter, high pressure booster pump and 80 GPD R.O membrane.
4.It purifies water with PHILIPS UV mechanism and it has a maximum storage capacity of 12 to 15 liters,which is sufficient for your entire family.
5.An excellent choice for Healthy hydration, not only does it taste great and refreshing, but it also helps you avoid impurities and improve health.",ATROS Aqua R1 Specification,42999,"Water Purifier > Domestic, Water Purifier",https://atros.in/wp-content/uploads/2023/11/Aqua-R2.jpeg,
ATROS 22 CP,"ATROS 22 CP best quality of product in Commercial.Useful for Small Offices, Institutes, Hospital etc.",ATROS 11CP Specification,370000,"Water Ionizer > Commercial Water Ionizer, Water Ionizer > Commercial Water Ionizer > CP Series, Water Ionizer",https://atros.in/wp-content/uploads/2023/02/ATROS-11CP.png,
ATROS 35 CP,"ATROS 35 CP best quality of product in Commercial.Useful for Small Offices, Institutes, Hospital etc.",ATROS 11CP Specification,550000,"Water Ionizer > Commercial Water Ionizer, Water Ionizer > Commercial Water Ionizer > CP Series, Water Ionizer",https://atros.in/wp-content/uploads/2023/02/ATROS-11CP.png,
ATROS 70 CP,"ATROS 70 CP best quality of product in Commercial.Useful for Small Offices, Institutes, Hospital etc.",ATROS 11CP Specification,999000,"Water Ionizer > Commercial Water Ionizer, Water Ionizer > Commercial Water Ionizer > CP Series, Water Ionizer",https://atros.in/wp-content/uploads/2023/02/ATROS-11CP.png,
ATROS 140 CP,"ATROS 140 CP best quality of product in Commercial.Useful for Small Offices, Institutes, Hospital etc.",ATROS 11CP Specification,1900000,"Water Ionizer > Commercial Water Ionizer, Water Ionizer > Commercial Water Ionizer > CP Series, Water Ionizer",https://atros.in/wp-content/uploads/2023/02/ATROS-11CP.png,
ATROS 280 CP,"ATROS 280 CP best quality of product in Commercial.Useful for Small Offices, Institutes, Hospital etc.",ATROS 11CP Specification,3700000,"Water Ionizer > Commercial Water Ionizer, Water Ionizer > Commercial Water Ionizer > CP Series, Water Ionizer",https://atros.in/wp-content/uploads/2023/02/ATROS-11CP.png,
